figure,purpose,source_basename,upstream_path,upstream_sha256,packaged_path,packaged_sha256,filtered_to_six_cases,source_rows,packaged_rows,status
3,Pressure change in energetic and adsorption contrasts,heat_adsorption_pressure_results.csv,C:\Users\KaraPardazesh\Desktop\7B2\Step 2 results\heat_analysis\heat_adsorption_pressure_results.csv,b567276cb4bac47db345eae6b44629f3823f4ed0050fe4511603ec261b5edda3,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_03\04_heat_adsorption_pressure_results.csv,b567276cb4bac47db345eae6b44629f3823f4ed0050fe4511603ec261b5edda3,False,54.0,54.0,PACKAGED
4,Measured-geometry arm balance diagnostic,04_balance.csv,C:\Users\KaraPardazesh\Desktop\7B2\Step 2 results\balance_family_dominance\04_balance.csv,f6eca5efde2e71da03167d6c6e50b33e7092ce047352f1180a3ceb5bbf81ba2a,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_04\04_04_balance.csv,f6eca5efde2e71da03167d6c6e50b33e7092ce047352f1180a3ceb5bbf81ba2a,False,21.0,21.0,PACKAGED
4,Largest-family exclusion estimates,04_family_exclusion_results.csv,C:\Users\KaraPardazesh\Desktop\7B2\Step 2 results\balance_family_dominance\04_family_exclusion_results.csv,223cdcbe2af724382920048ce4a9a5c74d2fb39078999c5d82a98ceaeb6a995a,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_04\04_04_family_exclusion_results.csv,223cdcbe2af724382920048ce4a9a5c74d2fb39078999c5d82a98ceaeb6a995a,False,216.0,216.0,PACKAGED
4,Family-dominance summary,04_family_exclusion_summary.csv,C:\Users\KaraPardazesh\Desktop\7B2\Step 2 results\balance_family_dominance\04_family_exclusion_summary.csv,9306dad61cffbd7a09c1a9a2cf7c45a375773d3edea6d42a58563d51b666c74c,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_04\04_04_family_exclusion_summary.csv,9306dad61cffbd7a09c1a9a2cf7c45a375773d3edea6d42a58563d51b666c74c,False,4.0,4.0,PACKAGED
4,Reciprocal matching robustness,reciprocal_covariance_matching_summary.csv,C:\Users\KaraPardazesh\Desktop\7B2\analysis\reciprocal_covariance_matching_summary.csv,a143ef8d2814bf1d0b386e1f2ce47dcfbc73e480949531b037c8250891caa0a9,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_04\04_reciprocal_covariance_matching_summary.csv,a143ef8d2814bf1d0b386e1f2ce47dcfbc73e480949531b037c8250891caa0a9,False,3.0,3.0,PACKAGED
4,Topology-confidence robustness,step1_topology_robustness_summary.csv,C:\Users\KaraPardazesh\Desktop\7B2\analysis\step1_topology_robustness_summary.csv,76250d9fd96c4a4e55e100cf446d83840a2a1a892f6553b88cca4236583b9d72,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_04\04_step1_topology_robustness_summary.csv,76250d9fd96c4a4e55e100cf446d83840a2a1a892f6553b88cca4236583b9d72,False,2.0,2.0,PACKAGED
4,Residual-geometry associations,step2_residual_geometry_summary.csv,C:\Users\KaraPardazesh\Desktop\7B2\analysis\step2_residual_geometry_summary.csv,a1a1bd553a90f767035f9be29b33921e6a3b7ceca8f0210437c9d4997cdbd4e5,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_04\04_step2_residual_geometry_summary.csv,a1a1bd553a90f767035f9be29b33921e6a3b7ceca8f0210437c9d4997cdbd4e5,False,9.0,9.0,PACKAGED
5,Twelve selected framework endpoints,02_final_case_frameworks.csv,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\case_selection\02_final_case_frameworks.csv,9bd7fc9adbf6e5e3fcf733c9031739e400b0d79c9469015ec561afb04174ffc7,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_05\04_02_final_case_frameworks.csv,9bd7fc9adbf6e5e3fcf733c9031739e400b0d79c9469015ec561afb04174ffc7,False,12.0,12.0,PACKAGED
5,Frozen six-case definitions,02_final_case_set.csv,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\case_selection\02_final_case_set.csv,5e8cc002b767848321067febeb857823c615118533d0c17830e5e43c02dac24b,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_05\04_02_final_case_set.csv,5e8cc002b767848321067febeb857823c615118533d0c17830e5e43c02dac24b,False,6.0,6.0,PACKAGED
5,Selected-case element charge summaries,03_element_charge_summaries.csv,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\case_chemistry\03_element_charge_summaries.csv,bf2aec21e549c049002c18f289d66097d437e8345589e948a913f51820526f95,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_05\04_03_element_charge_summaries.csv,bf2aec21e549c049002c18f289d66097d437e8345589e948a913f51820526f95,False,60.0,60.0,PACKAGED
5,Selected-case framework charge summaries,03_framework_charge_summaries.csv,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\case_chemistry\03_framework_charge_summaries.csv,afa633a1c11b4843171e96b82c3d994495e5df9514ee018f17c5dd8d35e45935,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_05\04_03_framework_charge_summaries.csv,afa633a1c11b4843171e96b82c3d994495e5df9514ee018f17c5dd8d35e45935,False,12.0,12.0,PACKAGED
5,Selected-case pair charge audit,03_pair_charge_contrasts.csv,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\case_chemistry\03_pair_charge_contrasts.csv,11bf86f7feff98aaf9cc5001d50f70e52c0b16a2a793acf73ef85040a513d980,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_05\04_03_pair_charge_contrasts.csv,11bf86f7feff98aaf9cc5001d50f70e52c0b16a2a793acf73ef85040a513d980,False,6.0,6.0,PACKAGED
5,Condition-level adsorption results for shortlisted cases,candidate_adsorption_conditions.csv,C:\Users\KaraPardazesh\Desktop\7B2\analysis\final_structure_case_inspection\candidate_adsorption_conditions.csv,fb41f601f9aff9dac70b884a0a6d37c503c578a2ce45678cde85570bbfe8aa90,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_05\04_candidate_adsorption_conditions.csv,6d89da1ebe19258b14433da6172a3fe8f8dff76a96cbfaafeca96768fe4f750a,True,828.0,108.0,PACKAGED
5,Geometry and chemistry audit for shortlisted cases,candidate_pair_audit.csv,C:\Users\KaraPardazesh\Desktop\7B2\analysis\final_structure_case_inspection\candidate_pair_audit.csv,d537918cac9f0f81f47343243c0f1991ae7400d69361182dc5aef0a3332a9c05,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_05\04_candidate_pair_audit.csv,c2ce9aaae38452b2ff651c1bfa9a62586a30f30ecc3420d438a22ca353cd686c,True,46.0,6.0,PACKAGED
5,Process results for shortlisted cases,candidate_process_results.csv,C:\Users\KaraPardazesh\Desktop\7B2\analysis\final_structure_case_inspection\candidate_process_results.csv,40e4749168d872a4b42a7bc531c9690f967f243fd5637010f1efeb123e114892,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_05\04_candidate_process_results.csv,d3e6b524be5dbbb655e3a8e7819e263904ac86a0630273484932216ef3ade5f2,True,230.0,30.0,PACKAGED
6,Case role and process-alignment labels,02_final_case_set.csv,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\case_selection\02_final_case_set.csv,5e8cc002b767848321067febeb857823c615118533d0c17830e5e43c02dac24b,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_06\04_02_final_case_set.csv,5e8cc002b767848321067febeb857823c615118533d0c17830e5e43c02dac24b,False,6.0,6.0,PACKAGED
6,Selected-case process consequences,candidate_process_results.csv,C:\Users\KaraPardazesh\Desktop\7B2\analysis\final_structure_case_inspection\candidate_process_results.csv,40e4749168d872a4b42a7bc531c9690f967f243fd5637010f1efeb123e114892,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_06\04_candidate_process_results.csv,d3e6b524be5dbbb655e3a8e7819e263904ac86a0630273484932216ef3ade5f2,True,230.0,30.0,PACKAGED
6,Class-level process translation,process_translation_summary_final.csv,C:\Users\KaraPardazesh\Desktop\7B2\analysis\process_translation_summary_final.csv,1ca19c314dabb569ff96fa63f149d10dfe91f0061ef0357ab36b0687f4291b34,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_06\04_process_translation_summary_final.csv,1ca19c314dabb569ff96fa63f149d10dfe91f0061ef0357ab36b0687f4291b34,False,105.0,105.0,PACKAGED
