intervention,target,T/K,p/bar,effect_measure,scenario,groups,median_effect,bootstrap_95_low,bootstrap_95_high
linker_family_change,methane_storage_CH4,298.0,5.8,absolute_log_difference,all_groups,3494,0.047467343666689366,0.04561327636037449,0.0494710299343779
linker_family_change,methane_storage_CH4,298.0,5.8,absolute_log_difference,exclude_largest,3493,0.04745322472724367,0.045489801821683384,0.049470453484054155
linker_family_change,methane_storage_CH4,298.0,5.8,absolute_log_difference,exclude_top_10,3484,0.047446445009486804,0.045410205139352955,0.04940182159181239
linker_family_change,methane_storage_CH4,298.0,65.0,absolute_log_difference,all_groups,3494,0.0262088425307776,0.025284330168679592,0.027154130712051305
linker_family_change,methane_storage_CH4,298.0,65.0,absolute_log_difference,exclude_largest,3493,0.026210579515136168,0.025286657822320056,0.027164512689617393
linker_family_change,methane_storage_CH4,298.0,65.0,absolute_log_difference,exclude_top_10,3484,0.02625873295275971,0.0253016713765587,0.02717566867138732
linker_family_change,post_combustion_CO2,298.0,0.015,absolute_log_difference,all_groups,3494,0.18419832313932838,0.17862425030803813,0.19206655577909754
linker_family_change,post_combustion_CO2,298.0,0.015,absolute_log_difference,exclude_largest,3493,0.1842178045530991,0.17872266274015458,0.19206655577909754
linker_family_change,post_combustion_CO2,298.0,0.015,absolute_log_difference,exclude_top_10,3484,0.1850113230876831,0.17912589735171297,0.192469095302211
linker_family_change,post_combustion_CO2,298.0,0.15,absolute_log_difference,all_groups,3494,0.15355032550587283,0.14879844201341264,0.15975513900173494
linker_family_change,post_combustion_CO2,298.0,0.15,absolute_log_difference,exclude_largest,3493,0.15351309963378168,0.14899468193783116,0.15953117992012555
linker_family_change,post_combustion_CO2,298.0,0.15,absolute_log_difference,exclude_top_10,3484,0.15304007600400082,0.14859932348231925,0.1591014526462875
linker_family_change,post_combustion_N2,298.0,0.075,absolute_log_difference,all_groups,3494,0.05772412132707305,0.056168288107446805,0.05963561768719838
linker_family_change,post_combustion_N2,298.0,0.075,absolute_log_difference,exclude_largest,3493,0.05771717326973036,0.05601439389842788,0.059592091102988735
linker_family_change,post_combustion_N2,298.0,0.075,absolute_log_difference,exclude_top_10,3484,0.0577956889493485,0.05623631253910718,0.05974618288700029
linker_family_change,post_combustion_N2,298.0,0.75,absolute_log_difference,all_groups,3494,0.04244355318884363,0.04099628679596479,0.04366117989442597
linker_family_change,post_combustion_N2,298.0,0.75,absolute_log_difference,exclude_largest,3493,0.04243926806712306,0.04097712795917152,0.04366415833657067
linker_family_change,post_combustion_N2,298.0,0.75,absolute_log_difference,exclude_top_10,3484,0.042430296548530644,0.04087243311908473,0.043651639587244606
linker_family_change,pre_combustion_CO2,313.0,0.4,absolute_log_difference,all_groups,3494,0.13083994416501937,0.12581131130090883,0.13564313919069387
linker_family_change,pre_combustion_CO2,313.0,0.4,absolute_log_difference,exclude_largest,3493,0.1308148137707082,0.12580289734738404,0.1355621285351385
linker_family_change,pre_combustion_CO2,313.0,0.4,absolute_log_difference,exclude_top_10,3484,0.13078595538722634,0.12575263485628768,0.13572414984624925
linker_family_change,pre_combustion_CO2,313.0,16.0,absolute_log_difference,all_groups,3491,0.041031353968215445,0.03959071087794186,0.04263250131154228
linker_family_change,pre_combustion_CO2,313.0,16.0,absolute_log_difference,exclude_largest,3490,0.04102901703487194,0.03955380083347659,0.0426133969125837
linker_family_change,pre_combustion_CO2,313.0,16.0,absolute_log_difference,exclude_top_10,3481,0.041026680101528434,0.03951802049918429,0.04257365752267539
linker_family_change,pre_combustion_H2,313.0,0.6,absolute_log_difference,all_groups,3494,0.034366353733861765,0.03326884078059433,0.0357764028922658
linker_family_change,pre_combustion_H2,313.0,0.6,absolute_log_difference,exclude_largest,3493,0.034401674654381376,0.033270669627272875,0.03576840241118884
linker_family_change,pre_combustion_H2,313.0,0.6,absolute_log_difference,exclude_top_10,3484,0.034406997288472074,0.03328432952723026,0.03582388054159713
linker_family_change,pre_combustion_H2,313.0,24.0,absolute_log_difference,all_groups,3491,0.07515369008705619,0.0719324185556558,0.07794968209705286
linker_family_change,pre_combustion_H2,313.0,24.0,absolute_log_difference,exclude_largest,3490,0.07516059448450008,0.0719324185556558,0.07792442543791864
linker_family_change,pre_combustion_H2,313.0,24.0,absolute_log_difference,exclude_top_10,3481,0.07525100308265345,0.07209069932539108,0.07797209471256972
metal_substitution,landfill_CH4,338.0,0.01,absolute_log_difference,all_groups,453,0.04900331178222128,0.04427446835157989,0.054366408644933806
metal_substitution,landfill_CH4,338.0,0.01,absolute_log_difference,exclude_largest,452,0.048856592094378426,0.044235069881261246,0.054354576128555446
metal_substitution,landfill_CH4,338.0,0.01,absolute_log_difference,exclude_top_10,443,0.04870913397818377,0.04414250289564148,0.05389151062936515
metal_substitution,landfill_CH4,338.0,4.4,absolute_log_difference,all_groups,453,0.038492970435864415,0.033566592168749076,0.04225129865250976
metal_substitution,landfill_CH4,338.0,4.4,absolute_log_difference,exclude_largest,452,0.03840345779807164,0.033541417031870274,0.04222960874806628
metal_substitution,landfill_CH4,338.0,4.4,absolute_log_difference,exclude_top_10,443,0.038025045090346765,0.03351624189499147,0.04215490588427184
metal_substitution,landfill_CO2,338.0,0.26,absolute_log_difference,all_groups,453,0.13191051665187084,0.12248945185117299,0.14242410592407417
metal_substitution,landfill_CO2,338.0,0.26,absolute_log_difference,exclude_largest,452,0.13193782353650424,0.12248945185117299,0.14242410592407417
metal_substitution,landfill_CO2,338.0,0.26,absolute_log_difference,exclude_top_10,443,0.1345811040747727,0.12364868596751266,0.1432910452078866
metal_substitution,landfill_CO2,338.0,3.2,absolute_log_difference,all_groups,453,0.07027344696867122,0.0634414214026695,0.0790654608196486
metal_substitution,landfill_CO2,338.0,3.2,absolute_log_difference,exclude_largest,452,0.07005252773193094,0.06339237873621459,0.07975855510294116
metal_substitution,landfill_CO2,338.0,3.2,absolute_log_difference,exclude_top_10,443,0.0704449155631095,0.0634414214026695,0.0811647706720644
metal_substitution,methane_purification_CH4,298.0,0.9,absolute_log_difference,all_groups,453,0.05001066359881512,0.04508118877383538,0.05283657034718131
metal_substitution,methane_purification_CH4,298.0,0.9,absolute_log_difference,exclude_largest,452,0.049916805532176645,0.044760466384831804,0.052828534790637094
metal_substitution,methane_purification_CH4,298.0,0.9,absolute_log_difference,exclude_top_10,443,0.04932389003643889,0.04436945859881508,0.05282163984030869
metal_substitution,methane_purification_CH4,298.0,9.0,absolute_log_difference,all_groups,453,0.03175557932304107,0.028026910741139277,0.03650041106072709
metal_substitution,methane_purification_CH4,298.0,9.0,absolute_log_difference,exclude_largest,452,0.03169759972296465,0.028026910741139277,0.036545691702637884
metal_substitution,methane_purification_CH4,298.0,9.0,absolute_log_difference,exclude_top_10,443,0.03110786368811369,0.027879291559346653,0.036429930611495465
metal_substitution,methane_purification_CO2,298.0,0.1,absolute_log_difference,all_groups,453,0.11295480667224489,0.10252702680982873,0.12644891052169938
metal_substitution,methane_purification_CO2,298.0,0.1,absolute_log_difference,exclude_largest,452,0.11315267942799939,0.1025557959901443,0.12665453009432937
metal_substitution,methane_purification_CO2,298.0,0.1,absolute_log_difference,exclude_top_10,443,0.1133505521837539,0.1025557959901443,0.12686014966695935
metal_substitution,methane_purification_CO2,298.0,1.0,absolute_log_difference,all_groups,453,0.09182688986750387,0.08476665660111826,0.10100630878308847
metal_substitution,methane_purification_CO2,298.0,1.0,absolute_log_difference,exclude_largest,452,0.09188195191483894,0.08493608056169166,0.10100630878308847
metal_substitution,methane_purification_CO2,298.0,1.0,absolute_log_difference,exclude_top_10,443,0.09297462624912256,0.08610258219049016,0.10235070878656916
metal_substitution,methane_storage_CH4,298.0,5.8,absolute_log_difference,all_groups,453,0.021682847338589495,0.020068135006121257,0.02469060727823713
metal_substitution,methane_storage_CH4,298.0,5.8,absolute_log_difference,exclude_largest,452,0.021566345373778883,0.0199745953134276,0.02470727996941502
metal_substitution,methane_storage_CH4,298.0,5.8,absolute_log_difference,exclude_top_10,443,0.021682847338589495,0.020068135006121257,0.024723952660592907
metal_substitution,methane_storage_CH4,298.0,65.0,absolute_log_difference,all_groups,453,0.024650269407904046,0.023314144508324697,0.026686250217854368
metal_substitution,methane_storage_CH4,298.0,65.0,absolute_log_difference,exclude_largest,452,0.024599005832092735,0.023305256599084334,0.026451041518101265
metal_substitution,methane_storage_CH4,298.0,65.0,absolute_log_difference,exclude_top_10,443,0.024658432856538237,0.02337808679855158,0.02668766497949754
metal_substitution,post_combustion_CO2,298.0,0.015,absolute_log_difference,all_groups,453,0.1616157627948825,0.14945559846138945,0.1776344541050725
metal_substitution,post_combustion_CO2,298.0,0.015,absolute_log_difference,exclude_largest,452,0.16208851028199303,0.14938138064586215,0.17762260173452993
metal_substitution,post_combustion_CO2,298.0,0.015,absolute_log_difference,exclude_top_10,443,0.16256125776910357,0.14930716283033485,0.1776344541050725
metal_substitution,post_combustion_CO2,298.0,0.15,absolute_log_difference,all_groups,453,0.12316046297663819,0.11138910860465648,0.1361693565944605
metal_substitution,post_combustion_CO2,298.0,0.15,absolute_log_difference,exclude_largest,452,0.12345121682400778,0.11155758719364658,0.13802830760431034
metal_substitution,post_combustion_CO2,298.0,0.15,absolute_log_difference,exclude_top_10,443,0.12457261033087941,0.11218105440118986,0.1424258076143975
metal_substitution,post_combustion_N2,298.0,0.075,absolute_log_difference,all_groups,453,0.053922482398549576,0.04720823260712104,0.06000545227040055
metal_substitution,post_combustion_N2,298.0,0.075,absolute_log_difference,exclude_largest,452,0.05391611143874275,0.04720823260712104,0.06000545227040055
metal_substitution,post_combustion_N2,298.0,0.075,absolute_log_difference,exclude_top_10,443,0.052759527523609684,0.04637820156694694,0.05949204871001745
metal_substitution,post_combustion_N2,298.0,0.75,absolute_log_difference,all_groups,453,0.04398955447606445,0.03878525661113752,0.04974342365469586
metal_substitution,post_combustion_N2,298.0,0.75,absolute_log_difference,exclude_largest,452,0.04389081686894225,0.038687484184997144,0.04937535200274812
metal_substitution,post_combustion_N2,298.0,0.75,absolute_log_difference,exclude_top_10,443,0.04342414401090233,0.03826967454446639,0.04893192566998339
metal_substitution,pre_combustion_CO2,313.0,0.4,absolute_log_difference,all_groups,453,0.11263453404826362,0.10000510217915382,0.12176228580117532
metal_substitution,pre_combustion_CO2,313.0,0.4,absolute_log_difference,exclude_largest,452,0.11283641647224008,0.10014908061040101,0.12290525157076082
metal_substitution,pre_combustion_CO2,313.0,0.4,absolute_log_difference,exclude_top_10,443,0.11321754768617986,0.1002930590416482,0.12417008744340974
metal_substitution,pre_combustion_CO2,313.0,16.0,absolute_log_difference,all_groups,452,0.037797513977344877,0.033836232112163245,0.04318826133749587
metal_substitution,pre_combustion_CO2,313.0,16.0,absolute_log_difference,exclude_largest,451,0.037636150270015545,0.03382946139416487,0.04295429355982128
metal_substitution,pre_combustion_CO2,313.0,16.0,absolute_log_difference,exclude_top_10,442,0.038060050937894,0.03430649978961775,0.04318826133749587
metal_substitution,pre_combustion_H2,313.0,0.6,absolute_log_difference,all_groups,453,0.03174979528731381,0.0288536993814561,0.03514935119583984
metal_substitution,pre_combustion_H2,313.0,0.6,absolute_log_difference,exclude_largest,452,0.031592262375958136,0.0288536993814561,0.035036994517179676
metal_substitution,pre_combustion_H2,313.0,0.6,absolute_log_difference,exclude_top_10,443,0.030927900683773935,0.028121225215576473,0.03472187547322525
metal_substitution,pre_combustion_H2,313.0,24.0,absolute_log_difference,all_groups,452,0.06122158913182163,0.05075233877310614,0.07240591460019125
metal_substitution,pre_combustion_H2,313.0,24.0,absolute_log_difference,exclude_largest,451,0.06048683302976032,0.050350406087502075,0.07235780570497141
metal_substitution,pre_combustion_H2,313.0,24.0,absolute_log_difference,exclude_top_10,442,0.06022003228855377,0.05050337930502606,0.07213506964100369
linker_family_change,landfill_CH4,338.0,0.01,standardized_absolute_difference,all_groups,3494,0.2027004129479152,0.19461396030371664,0.21033761822299163
linker_family_change,landfill_CH4,338.0,0.01,standardized_absolute_difference,exclude_largest,3493,0.20270041294791533,0.19497335819901374,0.21025226122285842
linker_family_change,landfill_CH4,338.0,0.01,standardized_absolute_difference,exclude_top_10,3484,0.20296996136938844,0.19569215398960954,0.21078686559211376
linker_family_change,landfill_CH4,338.0,4.4,standardized_absolute_difference,all_groups,3494,0.1894819462215172,0.18316108172062573,0.19685710163529885
linker_family_change,landfill_CH4,338.0,4.4,standardized_absolute_difference,exclude_largest,3493,0.18942093401591,0.18310983146791582,0.19692299481735445
linker_family_change,landfill_CH4,338.0,4.4,standardized_absolute_difference,exclude_top_10,3484,0.18964179820020782,0.18322575465856888,0.19781743375155436
linker_family_change,landfill_CO2,338.0,0.26,standardized_absolute_difference,all_groups,3494,0.16011869216931746,0.1525763315709786,0.16783544260808025
linker_family_change,landfill_CO2,338.0,0.26,standardized_absolute_difference,exclude_largest,3493,0.16022583846957794,0.15254086245089216,0.16793150480831398
linker_family_change,landfill_CO2,338.0,0.26,standardized_absolute_difference,exclude_top_10,3484,0.16039875042999852,0.15263988041113324,0.16820195684897138
linker_family_change,landfill_CO2,338.0,3.2,standardized_absolute_difference,all_groups,3494,0.14389900362588595,0.13770847789298138,0.14866177231983793
linker_family_change,landfill_CO2,338.0,3.2,standardized_absolute_difference,exclude_largest,3493,0.14397353010943403,0.1378961585737155,0.14907291470491305
linker_family_change,landfill_CO2,338.0,3.2,standardized_absolute_difference,exclude_top_10,3484,0.14398045636255175,0.13782024683954397,0.14880403755887844
linker_family_change,methane_purification_CH4,298.0,0.9,standardized_absolute_difference,all_groups,3494,0.12572162527151948,0.11980542077638805,0.13204296666806875
linker_family_change,methane_purification_CH4,298.0,0.9,standardized_absolute_difference,exclude_largest,3493,0.1258280136037662,0.12017626010593398,0.13207655498439227
linker_family_change,methane_purification_CH4,298.0,0.9,standardized_absolute_difference,exclude_top_10,3484,0.12592021682504675,0.12041132765908871,0.1323997728699802
linker_family_change,methane_purification_CH4,298.0,9.0,standardized_absolute_difference,all_groups,3494,0.16497916954375155,0.15939629864670052,0.17065267265018944
linker_family_change,methane_purification_CH4,298.0,9.0,standardized_absolute_difference,exclude_largest,3493,0.16497056840525356,0.1593384697155222,0.17047456503224698
linker_family_change,methane_purification_CH4,298.0,9.0,standardized_absolute_difference,exclude_top_10,3484,0.16495428114299138,0.15933480965658633,0.17035758954867308
linker_family_change,methane_purification_CO2,298.0,0.1,standardized_absolute_difference,all_groups,3494,0.12968052897385923,0.1224241078695632,0.13705102479533043
linker_family_change,methane_purification_CO2,298.0,0.1,standardized_absolute_difference,exclude_largest,3493,0.12972991445423704,0.12270798824426862,0.13695397658389072
linker_family_change,methane_purification_CO2,298.0,0.1,standardized_absolute_difference,exclude_top_10,3484,0.13017208677854816,0.1227723042187138,0.13743634639223
linker_family_change,methane_purification_CO2,298.0,1.0,standardized_absolute_difference,all_groups,3494,0.15765988072493925,0.15119751607367968,0.1647612379933054
linker_family_change,methane_purification_CO2,298.0,1.0,standardized_absolute_difference,exclude_largest,3493,0.1576738570905306,0.1511554165334221,0.16485566368278973
linker_family_change,methane_purification_CO2,298.0,1.0,standardized_absolute_difference,exclude_top_10,3484,0.15781958626834525,0.15139301474847838,0.16540380992355042
linker_family_change,methane_storage_CH4,298.0,5.8,standardized_absolute_difference,all_groups,3494,0.126467582342279,0.12038209402491873,0.13262844776760446
linker_family_change,methane_storage_CH4,298.0,5.8,standardized_absolute_difference,exclude_largest,3493,0.12642002682781112,0.12038209402491873,0.13262844776760446
linker_family_change,methane_storage_CH4,298.0,5.8,standardized_absolute_difference,exclude_top_10,3484,0.12610347532504484,0.12036883024197216,0.13226838458663437
linker_family_change,methane_storage_CH4,298.0,65.0,standardized_absolute_difference,all_groups,3494,0.06419809628885512,0.062167157456585034,0.06601476601153153
linker_family_change,methane_storage_CH4,298.0,65.0,standardized_absolute_difference,exclude_largest,3493,0.06418459551753915,0.06209494316605721,0.0660137274906608
linker_family_change,methane_storage_CH4,298.0,65.0,standardized_absolute_difference,exclude_top_10,3484,0.06408296883235877,0.062051992910057495,0.06583228305858002
linker_family_change,post_combustion_CO2,298.0,0.015,standardized_absolute_difference,all_groups,3494,0.21301220335436563,0.20135517017190316,0.22390643845887503
linker_family_change,post_combustion_CO2,298.0,0.015,standardized_absolute_difference,exclude_largest,3493,0.21301892404227712,0.20133164776421303,0.22364265145834944
linker_family_change,post_combustion_CO2,298.0,0.015,standardized_absolute_difference,exclude_top_10,3484,0.2137044342092481,0.2019701131158036,0.2244239314280591
linker_family_change,post_combustion_CO2,298.0,0.15,standardized_absolute_difference,all_groups,3494,0.1272022701496729,0.12073499664101009,0.133996744443186
linker_family_change,post_combustion_CO2,298.0,0.15,standardized_absolute_difference,exclude_largest,3493,0.12723645530629907,0.12077267007892466,0.13442161710411116
linker_family_change,post_combustion_CO2,298.0,0.15,standardized_absolute_difference,exclude_top_10,3484,0.12732784827605467,0.12136288727291909,0.13426124337187761
linker_family_change,post_combustion_N2,298.0,0.075,standardized_absolute_difference,all_groups,3494,0.30828663943990625,0.29695315052508775,0.3178099183197198
linker_family_change,post_combustion_N2,298.0,0.075,standardized_absolute_difference,exclude_largest,3493,0.3081292298716447,0.2968744457409565,0.3176525087514588
linker_family_change,post_combustion_N2,298.0,0.075,standardized_absolute_difference,exclude_top_10,3484,0.30828663943990625,0.296874445740957,0.3176525087514585
linker_family_change,post_combustion_N2,298.0,0.75,standardized_absolute_difference,all_groups,3494,0.2104339178785289,0.20297861420017144,0.2181854977544912
linker_family_change,post_combustion_N2,298.0,0.75,standardized_absolute_difference,exclude_largest,3493,0.21041873396065075,0.20303934987168518,0.21819289991445717
linker_family_change,post_combustion_N2,298.0,0.75,standardized_absolute_difference,exclude_top_10,3484,0.20987211291702318,0.20238644140290843,0.2177525662959796
linker_family_change,pre_combustion_CO2,313.0,0.4,standardized_absolute_difference,all_groups,3494,0.12483884742703069,0.11880984171313744,0.13156191845029966
linker_family_change,pre_combustion_CO2,313.0,0.4,standardized_absolute_difference,exclude_largest,3493,0.12499385375386654,0.11879646674502843,0.13172910555166334
linker_family_change,pre_combustion_CO2,313.0,0.4,standardized_absolute_difference,exclude_top_10,3484,0.12518635775915105,0.11898944842774536,0.13189509845944597
linker_family_change,pre_combustion_CO2,313.0,16.0,standardized_absolute_difference,all_groups,3491,0.11061895032294528,0.10707463700770146,0.11444668601691554
linker_family_change,pre_combustion_CO2,313.0,16.0,standardized_absolute_difference,exclude_largest,3490,0.11061057779874184,0.1069099221008486,0.11440037808292419
linker_family_change,pre_combustion_CO2,313.0,16.0,standardized_absolute_difference,exclude_top_10,3481,0.11061895032294528,0.10700956342849666,0.11444668601691554
linker_family_change,pre_combustion_H2,313.0,0.6,standardized_absolute_difference,all_groups,3494,0.08580962013935728,0.08301095302315134,0.0877935073692323
linker_family_change,pre_combustion_H2,313.0,0.6,standardized_absolute_difference,exclude_largest,3493,0.08581828340236972,0.08295940660822683,0.08777618084320718
linker_family_change,pre_combustion_H2,313.0,0.6,standardized_absolute_difference,exclude_top_10,3484,0.08580962013935728,0.08289010050412633,0.0877935073692323
linker_family_change,pre_combustion_H2,313.0,24.0,standardized_absolute_difference,all_groups,3491,0.06257893964135784,0.05896168149351595,0.06648580265124286
linker_family_change,pre_combustion_H2,313.0,24.0,standardized_absolute_difference,exclude_largest,3490,0.06257800543212531,0.058746813370064745,0.0665269078574684
linker_family_change,pre_combustion_H2,313.0,24.0,standardized_absolute_difference,exclude_top_10,3481,0.06242199249031511,0.05870851079153629,0.06606914533359379
metal_substitution,landfill_CH4,338.0,0.01,standardized_absolute_difference,all_groups,453,0.14447795390968443,0.1274065538830427,0.15615838550686054
metal_substitution,landfill_CH4,338.0,0.01,standardized_absolute_difference,exclude_largest,452,0.14555614759557758,0.12776595177834033,0.15633808445450925
metal_substitution,landfill_CH4,338.0,0.01,standardized_absolute_difference,exclude_top_10,443,0.14663434128147074,0.12812534967363792,0.1570568802451045
metal_substitution,landfill_CH4,338.0,4.4,standardized_absolute_difference,all_groups,453,0.15254759743522622,0.13195963877517883,0.16932717422128027
metal_substitution,landfill_CH4,338.0,4.4,standardized_absolute_difference,exclude_largest,452,0.15339322660494017,0.13223419370041106,0.16932717422128027
metal_substitution,landfill_CH4,338.0,4.4,standardized_absolute_difference,exclude_top_10,443,0.15584469702623213,0.13886866093812264,0.17331615222386976
metal_substitution,landfill_CO2,338.0,0.26,standardized_absolute_difference,all_groups,453,0.19554569267545588,0.17714165299070758,0.21409752036056326
metal_substitution,landfill_CO2,338.0,0.26,standardized_absolute_difference,exclude_largest,452,0.19553313069542516,0.17692292675017596,0.21150236307425335
metal_substitution,landfill_CO2,338.0,0.26,standardized_absolute_difference,exclude_top_10,443,0.19415796335208169,0.175944570187797,0.2088392233077785
metal_substitution,landfill_CO2,338.0,3.2,standardized_absolute_difference,all_groups,453,0.1768992751309006,0.1582554640384219,0.19140174095916032
metal_substitution,landfill_CO2,338.0,3.2,standardized_absolute_difference,exclude_largest,452,0.177423453966859,0.15930437581058735,0.19153361681852393
metal_substitution,landfill_CO2,338.0,3.2,standardized_absolute_difference,exclude_top_10,443,0.18117969955772606,0.15939303185049536,0.1930934090206615
metal_substitution,methane_purification_CH4,298.0,0.9,standardized_absolute_difference,all_groups,453,0.09450526214589801,0.08122799828150304,0.10921218255124704
metal_substitution,methane_purification_CH4,298.0,0.9,standardized_absolute_difference,exclude_largest,452,0.09463495458901788,0.08249857893519294,0.10961696482489053
metal_substitution,methane_purification_CH4,298.0,0.9,standardized_absolute_difference,exclude_top_10,443,0.09507671947339487,0.08249857893519294,0.11144836397285247
metal_substitution,methane_purification_CH4,298.0,9.0,standardized_absolute_difference,all_groups,453,0.11766723471287793,0.10377584702961383,0.1276020986870185
metal_substitution,methane_purification_CH4,298.0,9.0,standardized_absolute_difference,exclude_largest,452,0.1177821605634482,0.10425494874425273,0.12766468569481293
metal_substitution,methane_purification_CH4,298.0,9.0,standardized_absolute_difference,exclude_top_10,443,0.12001260047865624,0.10489948512276898,0.13003603787903284
metal_substitution,methane_purification_CO2,298.0,0.1,standardized_absolute_difference,all_groups,453,0.13191206358720078,0.11983903638419309,0.15664614975957283
metal_substitution,methane_purification_CO2,298.0,0.1,standardized_absolute_difference,exclude_largest,452,0.13173978865565106,0.1197907994033593,0.15509682387516854
metal_substitution,methane_purification_CO2,298.0,0.1,standardized_absolute_difference,exclude_top_10,443,0.1304442811703968,0.11956799049188824,0.15334765907016668
metal_substitution,methane_purification_CO2,298.0,1.0,standardized_absolute_difference,all_groups,453,0.21392497883986486,0.19164256144335942,0.2283179083034277
metal_substitution,methane_purification_CO2,298.0,1.0,standardized_absolute_difference,exclude_largest,452,0.21436540479948119,0.19339506133375245,0.22910637985497023
metal_substitution,methane_purification_CO2,298.0,1.0,standardized_absolute_difference,exclude_top_10,443,0.2149462761889442,0.19544447377122437,0.23189926676451902
metal_substitution,methane_storage_CH4,298.0,5.8,standardized_absolute_difference,all_groups,453,0.063213248482917,0.058409818014778125,0.07036469203953602
metal_substitution,methane_storage_CH4,298.0,5.8,standardized_absolute_difference,exclude_largest,452,0.06331256510156717,0.05839623072493018,0.07036469203953602
metal_substitution,methane_storage_CH4,298.0,5.8,standardized_absolute_difference,exclude_top_10,443,0.06373927070417224,0.059577030914094165,0.07065390720915612
metal_substitution,methane_storage_CH4,298.0,65.0,standardized_absolute_difference,all_groups,453,0.053755620576295536,0.04973120384315453,0.05901469026428462
metal_substitution,methane_storage_CH4,298.0,65.0,standardized_absolute_difference,exclude_largest,452,0.053868819351175254,0.04989939693437836,0.05907210563240839
metal_substitution,methane_storage_CH4,298.0,65.0,standardized_absolute_difference,exclude_top_10,443,0.05428215065761667,0.05065073989388082,0.05968854194908632
metal_substitution,post_combustion_CO2,298.0,0.015,standardized_absolute_difference,all_groups,453,0.24170282004847465,0.21738737118473916,0.2724432465555853
metal_substitution,post_combustion_CO2,298.0,0.015,standardized_absolute_difference,exclude_largest,452,0.24106435469688398,0.21739409187265069,0.27181150189190606
metal_substitution,post_combustion_CO2,298.0,0.015,standardized_absolute_difference,exclude_top_10,443,0.23741502116095034,0.21250143107309336,0.26878719233174
metal_substitution,post_combustion_CO2,298.0,0.15,standardized_absolute_difference,all_groups,453,0.133107232714648,0.1169425372242797,0.15606291421724167
