"path","filename","extension","size_MB","modified_date","category","likely_role","notes"
"analysis","final_major_metal_process_group_results.parquet",".parquet","0.122813","2026-08-02T07:07:31+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","final_major_metal_process_pair_results.parquet",".parquet","0.475449","2026-08-02T07:07:31+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","final_major_metal_process_summary.csv",".csv","0.02414","2026-08-02T07:07:33+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","final_major_metal_run_summary.csv",".csv","0.000457","2026-08-02T07:07:33+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","final_major_metal_support.csv",".csv","0.000432","2026-08-02T07:07:33+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","final_primary_pair_counts.csv",".csv","0.000185","2026-08-02T07:05:33+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","final_primary_pair_effect_magnitudes.parquet",".parquet","18.914812","2026-08-02T06:35:10+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","final_primary_pair_manifest.json",".json","0.001391","2026-08-02T07:05:33+03:30","provenance_manifest","Manifest, hash, restart, or provenance record indicated by filename/content type","Role based only on path, filename, and extension"
"analysis","final_primary_pairs.parquet",".parquet","2.405869","2026-08-02T07:05:33+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","final_structure_case_inspection.zip",".zip","0.460419","2026-08-14T12:03:02+03:30","archive","Compressed archive; contents not duplicated in draft","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection","candidate_adsorption_conditions.csv",".csv","0.775284","2026-08-02T07:42:00+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection","candidate_cif_failures.csv",".csv","0.000152","2026-08-02T07:41:58+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection","candidate_framework_audit.csv",".csv","0.186995","2026-08-02T07:41:59+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection","candidate_pair_audit.csv",".csv","0.045323","2026-08-02T07:41:59+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection","candidate_process_results.csv",".csv","0.232227","2026-08-02T07:42:00+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m15_o44_o148_f0_fsc.cif",".cif","0.004354","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m18_o44_o148_f0_fsc.cif",".cif","0.004353","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o1_o17_f0_nbo.sym.11.cif",".cif","0.015656","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o1_o17_f0_nbo.sym.31.cif",".cif","0.016483","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o1_o19_f0_nbo.sym.12.cif",".cif","0.011574","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o17_o27_f0_nbo.sym.36.cif",".cif","0.027505","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o2_o8_f0_pcu.sym.111.cif",".cif","0.005363","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o2_o8_f0_pcu.sym.112.cif",".cif","0.005363","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o22_o22_f0_nbo.sym.46.cif",".cif","0.009162","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o22_o24_f0_nbo.sym.50.cif",".cif","0.008855","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o22_o28_f0_nbo.sym.1.cif",".cif","0.022167","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o22_o29_f0_nbo.sym.84.cif",".cif","0.027864","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o23_o28_f0_nbo.sym.21.cif",".cif","0.025045","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o23_o28_f0_nbo.sym.3.cif",".cif","0.025037","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o23_o28_f0_nbo.sym.4.cif",".cif","0.024434","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o24_o29_f0_nbo.sym.62.cif",".cif","0.026258","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o25_o28_f0_nbo.sym.20.cif",".cif","0.022608","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o25_o28_f0_nbo.sym.4.cif",".cif","0.022","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o27_o27_f0_nbo.sym.5.cif",".cif","0.020981","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o5_o27_f0_nbo.sym.55.cif",".cif","0.014435","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o6_o27_f0_nbo.sym.30.cif",".cif","0.017708","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o7_o7_f0_nbo.sym.45.cif",".cif","0.018512","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o7_o8_f0_pcu.sym.117.cif",".cif","0.005462","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o7_o8_f0_pcu.sym.120.cif",".cif","0.005467","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o8_o14_f0_pcu.sym.128.cif",".cif","0.005657","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o8_o24_f0_pcu.sym.19.cif",".cif","0.005559","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o9_o27_f0_nbo.sym.72.cif",".cif","0.012135","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m2_o9_o27_f0_nbo.sym.78.cif",".cif","0.012283","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o1_o17_f0_nbo.sym.13.cif",".cif","0.015656","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o1_o17_f0_nbo.sym.35.cif",".cif","0.016472","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o1_o19_f0_nbo.sym.10.cif",".cif","0.011581","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o1_o470_f0_fsc.sym.10.cif",".cif","0.00296","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o1_o49_f0_fsc.sym.5.cif",".cif","0.003058","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o1_o9_f0_nbo.sym.133.cif",".cif","0.007868","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o11_o17_f0_pcu.sym.32.cif",".cif","0.003566","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o12_o20_f0_pcu.sym.24.cif",".cif","0.00297","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o13_o149_f0_fsc.sym.43.cif",".cif","0.003812","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o14_o22_f0_nbo.sym.46.cif",".cif","0.008377","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o15_o28_f0_pcu.sym.26.cif",".cif","0.007063","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o15_o28_f0_pcu.sym.3.cif",".cif","0.006863","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o152_o155_f0_fsc.sym.27.cif",".cif","0.004965","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o1530_o155_f0_fsc.sym.50.cif",".cif","0.004862","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o155_o510_f0_fsc.sym.32.cif",".cif","0.00486","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o16_o480_f0_fsc.sym.25.cif",".cif","0.003864","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o17_o113_f0_fsc.cif",".cif","0.00361","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o17_o24_f0_nbo.sym.51.cif",".cif","0.018304","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o17_o24_f0_nbo.sym.52.cif",".cif","0.018302","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o17_o27_f0_nbo.sym.44.cif",".cif","0.027482","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o22_o28_f0_nbo.cif",".cif","0.022203","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o27_o27_f0_nbo.sym.7.cif",".cif","0.020985","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o42_o13_f0_fsc.sym.25.cif",".cif","0.003762","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o440_o155_f0_fsc.sym.26.cif",".cif","0.004964","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o5_o27_f0_nbo.sym.58.cif",".cif","0.014435","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o52_o14_f0_fsc.sym.37.cif",".cif","0.004058","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o520_o14_f0_fsc.sym.64.cif",".cif","0.004109","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o6_o27_f0_nbo.sym.33.cif",".cif","0.017708","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o7_o17_f0_pcu.sym.57.cif",".cif","0.005172","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o7_o20_f0_pcu.sym.49.cif",".cif","0.004571","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o7_o7_f0_nbo.sym.48.cif",".cif","0.018462","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o8_o16_f0_pcu.sym.11.cif",".cif","0.004968","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o8_o16_f0_pcu.sym.13.cif",".cif","0.004968","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o9_o27_f0_nbo.sym.114.cif",".cif","0.011878","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m3_o9_o27_f0_nbo.sym.117.cif",".cif","0.011881","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m9_o1_o17_f0_sra.sym.129.cif",".cif","0.006266","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m9_o16_o27_f0_sra.sym.4.cif",".cif","0.008025","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m9_o16_o27_f0_sra.sym.53.cif",".cif","0.008223","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m9_o17_o27_f0_sra.sym.116.cif",".cif","0.007339","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m9_o17_o27_f0_sra.sym.117.cif",".cif","0.007347","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB0-m9_o2_o14_f0_sra.sym.10.cif",".cif","0.006263","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB12-AHOJUC_clean.cif",".cif","0.00252","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB12-AHOJUC_freeONLY.cif",".cif","0.002522","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB12-AHOKAJ_clean.cif",".cif","0.002554","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB12-BUGSEC_clean.cif",".cif","0.005943","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB12-EKETOF_clean.cif",".cif","0.01015","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB12-EKEVAT_clean.cif",".cif","0.010162","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB12-FEVDER_clean.cif",".cif","0.014001","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB12-FEVDIV_freeONLY.cif",".cif","0.014","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB12-GAJZEY_clean.cif",".cif","0.005943","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB12-GAJZEY_freeONLY.cif",".cif","0.007148","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB12-GAJZOI_freeONLY.cif",".cif","0.007155","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB12-GAKBAX_freeONLY.cif",".cif","0.007155","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB13-nbo-Syn027711.cif",".cif","0.01912","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB13-nbo-Syn030339.cif",".cif","0.020324","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB13-nbo-Syn034591.cif",".cif","0.021546","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB13-nbo-Syn038645.cif",".cif","0.018523","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB15-pcu_N139_E148_opt.cif",".cif","0.005657","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB15-pcu_N65_E148_opt.cif",".cif","0.005654","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB1-Zn2O8N2-DPAC_A-irmof10_A_No592.cif",".cif","0.009972","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection\cifs","DB1-Zn2O8N2-DPAC_A-irmof14_A_No36.cif",".cif","0.00987","2026-08-02T07:41:58+03:30","structure_data","CIF structure file; redistribution status not established","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection","final_case_review_sheet.csv",".csv","0.012039","2026-08-02T07:42:00+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis\final_structure_case_inspection","inspection_manifest.json",".json","0.000798","2026-08-02T07:42:00+03:30","provenance_manifest","Manifest, hash, restart, or provenance record indicated by filename/content type","Role based only on path, filename, and extension"
"analysis","final_structure_case_pair_summary.parquet",".parquet","3.847839","2026-08-02T07:08:33+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","final_structure_case_pairs_without_adsorption_summary.csv",".csv","5.1E-05","2026-08-02T07:08:33+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","final_structure_case_selection_manifest.json",".json","0.001349","2026-08-02T07:08:34+03:30","provenance_manifest","Manifest, hash, restart, or provenance record indicated by filename/content type","Role based only on path, filename, and extension"
"analysis","final_structure_case_selection_summary.csv",".csv","0.00121","2026-08-02T07:08:34+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","final_structure_case_shortlist.csv",".csv","0.021333","2026-08-02T07:08:34+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","framework_master.parquet",".parquet","97.496916","2026-08-02T05:40:12+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","full_pair_context_profile.csv",".csv","3.713116","2026-08-02T06:21:24+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
